Name;Passes;Goal;Assists;Trophies;CHAMPIONS LEAGUE;Yellow;Red;
Messi;45;28;3;7;5;2;0;
Messi;47;24;12;6;9;1;0;
Messi;47;23;18;6;4;1;0;
Messi;45;11;17;17;8;1;0;
Messi;50;25;12;6;5;2;1;
Messi;55;27;3;7;5;2;1;
Messi;54;27;7;5;5;2;0;
Messi;47;26;10;10;4;1;0;
Messi;50;17;17;8;6;1;0;
Messi;50;17;17;11;4;1;0;
Ronaldo;39;10;26;19;14;1;1;
Ronaldo;42;21;16;10;8;3;0;
Ronaldo;34;17;20;20;5;2;1;
Ronaldo;39;13;17;19;10;1;1;
Ronaldo;38;15;23;15;8;0;1;
Ronaldo;42;18;25;9;5;1;0;
Ronaldo;36;14;21;14;11;2;1;
Ronaldo;38;15;31;8;6;1;1;
Ronaldo;36;16;24;12;9;1;1;
Ronaldo;34;17;23;11;13;0;1;